PM2.5,PM10,NO2,NH3,SO2,CO,Ozone,NO,NOx,AQI
13.17,57.35,10.79,37.94,1.37,0.61,16.1,8.26,18.98,57.35
29.88,94.09,21.18,40.56,1.79,0.96,12.84,13.76,34.97,94.09
42.74,119.58,13.53,47.47,1.78,0.74,15.81,12.03,25.54,119.58
33.01,104.8,16.44,52.14,1.86,0.77,17.41,7.4,23.81,104.8
22.33,71.44,10.22,40.94,2.28,0.58,20.21,7.36,17.37,71.44
18.82,63.04,14.65,37.41,1.7,0.74,12.97,10.32,24.79,63.04
30.23,105.95,20.61,41.72,3.43,0.77,23.39,8.62,29.1,105.95
29.11,102.43,12.51,45.1,0.97,0.59,17.03,9.03,21.36,102.43
27.85,109.12,10.81,46.3,1.11,0.52,15.16,8.07,18.87,109.12
32.01,149.79,12.97,40.89,0.74,0.61,14.49,12.99,25.95,149.79
37.45,147.69,15.16,35.98,2,0.6,21.06,10.18,25.2,147.69
46.69,139.23,26.37,41.24,1.88,0.79,17.32,17.8,44.26,139.23
39.05,136.03,18.81,45.19,1.58,0.74,13.27,21.13,40.07,136.03
39.46,121.58,19.1,46.97,1.23,0.68,18.4,16.27,35.19,121.58
35.72,124.61,20.73,45.68,1.87,0.72,18.29,14.27,35.08,124.61
29.01,116.89,15.49,40.01,1.83,0.64,12.46,17.89,33.45,116.89
18.48,91.01,15.61,35.18,1.27,0.52,13.49,15,30.58,91.01
20.94,94.86,14.54,32.31,2.09,0.62,15.12,14.29,28.9,94.86
30.57,123.75,15.87,31.33,1.48,0.7,17.34,13.31,29.18,123.75
33.57,141.56,21.36,36.04,3.06,0.7,18.64,29.07,50.24,141.56
56.81,174.59,24.64,31.07,11.33,0.68,46.55,6.11,30.63,174.59
49.95,133.3,22.06,47.45,3.64,0.93,27.86,7.83,29.51,133.3
45.15,109.27,18.33,57.29,7.29,0.82,20.55,7.63,25.69,109.27
26.27,84.32,17.91,50.14,3.33,0.84,20.38,7.36,25.1,84.32
20.21,87.17,17.64,41.55,3.3,0.84,19.53,8.32,25.85,87.17
12.2,63.08,17.3,39.81,3.28,0.75,11.1,11.23,28.4,63.08
12.24,52.89,14.72,42.68,2.99,0.72,12.41,8.43,23.14,52.89
13.65,36.47,11.78,43.56,2.26,0.71,11.11,7.96,19.72,43.56
14.1,29.58,16.13,40.13,2.92,1.1,7.71,16.74,32.87,40.13
30.48,100.43,17.78,38.1,3.67,0.86,15.02,15.58,33.35,100.43
42.97,159.97,20.6,38.2,3.22,1.15,19.24,22.45,42.8,159.97
66.85,213.62,22.38,46.04,2.46,1.06,17.65,28.65,51.03,213.62
86,210,31,63.3,1.3,1.1,3.5,7.1,38.1,210
