PM2.5,PM10,NO2,NH3,SO2,CO,Ozone,NO,NOx,AQI
12.36,49.9,7.04,35.3,1.6,0.56,9.41,3.78,10.81,49.9
26.32,85.93,12.37,32.97,2.16,0.7,10.36,5.14,17.51,85.93
38.64,104.42,8.93,38.11,2.03,0.66,6.95,3.74,12.66,104.42
35.04,96.55,9.42,48.5,2.03,0.67,8.22,3.51,12.91,96.55
20.76,67.17,11.79,47.1,2.22,0.6,8.96,5.33,17.1,67.17
16.34,55.61,15.96,38.65,1.61,0.65,9.07,10.39,26.38,55.61
29.05,105.99,15.53,38.25,1.53,0.78,20.44,7.61,23.07,105.99
30.67,91.41,8.8,39.33,2.29,0.62,8.32,4.59,13.4,91.41
25.8,88.3,7.37,37.9,2.14,0.58,9.79,3.47,10.83,88.3
30.95,145.33,9.42,38.14,2.24,0.7,11.61,10.23,19.75,145.33
31.58,138.98,12.2,34.53,2.35,0.64,10.05,4.76,17.04,138.98
43.67,147.52,20.13,35.73,2.4,0.88,9.13,6.88,27.02,147.52
32.41,118.03,12.52,44.41,2.22,0.68,10.24,7,19.5,118.03
37.94,141.56,12.06,41.92,2.98,0.65,7.01,6.29,18.35,141.56
39.07,138.03,16.69,46.37,3.19,0.77,7.57,13.79,30.49,138.03
27.06,111.58,11.15,46.17,2.89,0.66,6.82,6.92,18.06,111.58
23.22,91.4,12.12,41.01,2.8,0.62,6.88,5.98,18.08,91.4
20.67,89.32,9.73,37.52,2.16,0.56,10.8,3.68,13.4,89.32
36.89,135.83,12.77,36.22,3.15,0.65,8.53,5.41,18.16,135.83
41.38,135.81,13.74,38.55,4.81,0.68,17.96,4.81,18.49,135.81
68.01,165.82,14.96,43.25,4.64,0.83,23.41,3.08,18.05,165.82
60.18,136.91,18.53,46.53,2.91,0.9,22.16,5.72,24.3,136.91
48.83,100.16,15.3,47.57,2.45,0.77,13.05,4.68,19.99,100.16
32.36,84.25,14,43.17,3.37,0.74,17.19,5.76,19.88,84.25
24.12,76.19,13.39,38.04,2.56,0.75,16.09,4.72,18.12,76.19
17.65,60.43,11.34,36.16,2.23,0.66,8.97,3.28,14.62,60.43
13.09,51.8,8.42,36.06,1.86,0.6,9.1,2.9,11.31,51.8
12.75,31.71,6.65,36.93,1.79,0.61,7.17,2.49,9.14,36.93
12.65,21.7,11.03,33.26,1.75,0.74,7.97,7.59,18.5,33.26
31.36,88.95,13.91,32.86,2,0.82,10.15,12.82,26.71,88.95
46.18,142.66,18.3,32.86,2.88,1.08,15.52,20.8,39.04,142.66
85.92,200.73,18.35,40.17,3.43,1.15,6.06,18.77,37.13,200.73
64,262,28.8,41.9,3.1,1.8,2.9,104.6,135.8,262
