PM2.5,PM10,NO2,NH3,SO2,CO,Ozone,NO,NOx,PM10
27.72,264.76,43.41,57.23,19.24,1.51,56.67,78.14,86.81,264.76
45.9,228.57,60.7,52.04,12.07,1.64,55.04,80.98,98.31,228.57
63.45,285.72,50.51,54.45,11.97,1.6,54.18,65.79,80.5,285.72
38.41,134.99,34,59.36,11.2,1.34,54.88,19.86,34.28,134.99
25.01,96.76,28.72,58.98,9.25,1.3,53.26,10.85,24.13,96.76
22.24,65.68,30.29,57.21,14.17,1.33,52.67,13.81,27.38,65.68
50.9,228.76,61.9,55.5,20.33,1.55,53.57,53.92,76.88,228.76
53.26,294.7,51.54,55.28,17.77,1.37,51.58,87.26,98.53,294.7
43.18,290.55,44.4,57.61,20.84,1.49,53.35,82.86,91.2,290.55
50.24,294.1,50.33,57.15,17.66,1.55,55.28,102.16,110.07,294.1
52.33,237.55,51.26,56.7,18.36,1.58,57.49,62.84,78.51,237.55
64.18,232.73,77.58,52.43,24.37,None,57.95,80.51,106.9,232.73
56.92,295.62,61.31,58.83,18.53,2.97,44.99,100.98,114.91,295.62
69.97,375.44,63.08,56.18,11.49,1.85,60.91,88.32,105.57,375.44
64.79,193.1,80.64,57.83,25.88,3.4,54.26,83.06,110.61,193.1
47.6,372.23,49.4,54.56,24.77,None,51.76,103.82,110.93,372.23
40.9,309.91,47.91,56.54,15.12,None,48.12,77.04,88.3,309.91
46.24,293.12,48.27,56.23,15.43,None,48.12,70.89,83.49,293.12
57.62,304.21,52.61,54.92,18.9,None,46.96,72.83,87.37,304.21
63.55,262.16,58.45,57.04,26.12,None,51.76,36.62,60.95,262.16
70.73,207.04,52.35,56.7,24.26,None,62.99,19.22,43.51,207.04
61.73,130.09,38.65,57.38,25.82,None,63.67,9.78,28.53,130.09
54.4,113.14,36.51,54.46,25.73,None,61.77,17.62,33.78,113.14
27.02,76.91,28.11,59.34,28.9,None,61.32,7.38,20.97,76.91
26.1,90.95,28.6,55.72,29.05,None,62.46,14.46,27,90.95
23.31,83.12,29.61,52.66,19.41,None,62.56,14.76,27.78,83.12
20.81,74.03,28.7,51.94,24.43,None,61.79,14.04,26.72,74.03
18.97,73.8,26.33,51.85,23.13,None,60.8,26.29,35.43,73.8
19.57,42.6,31.25,52.45,32.01,None,55.68,52.74,59.63,59.63
40.21,172.69,42.42,51.65,25.79,None,57.02,36.31,52.18,172.69
71.55,393.2,54.75,52.82,26.96,None,59.08,60.23,78.23,393.2
99.1,473.11,60.14,54.75,21.28,None,58.29,87.05,102.95,473.11
120,817,62.2,63,76.5,,None,146.2,152.3,817
